method,importance,p_value,score,elapsed,correlation,correlation_group,n_samples,prob_data,group_based,group_stack,iteration
CPI-DNN,-0.00147390776033178,0.546166800949704,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,-0.0452729399648641,0.899427888895723,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,0.00614692289925885,0.434102011430247,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,-0.0173235668638099,0.753223104866307,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,-0.0769764058076,0.967053292837379,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,-0.0338784181128566,0.993259380116159,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,0.0305064845921748,0.178085297685504,0.918249065098533,1148.449,0.8,0,1000,regression,FALSE,FALSE,1
CPI-DNN,1.9093134356771,4.82858800387891e-18,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,0.0545825799133675,0.192850435302009,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,0.235644223033603,0.00219556240507456,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,2.46105680099953,4.14539580134913e-21,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,2.21837184886698,3.68759513566051e-18,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,0.982499277612368,1.9805654963636e-09,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,0.798991280777736,9.42621122641741e-08,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,0.633597915878571,1.27005769203301e-06,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,0.066737429120016,0.0366319122296123,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,1.9517211335458,4.35702657356413e-18,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.0405382138000763,0.840001269079716,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,1.44824043950694,9.72970764577808e-17,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,1.40940712859505,8.0179717056281e-13,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,1.42090012780628,9.33551201352356e-13,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,2.47676736173638,4.8268120248511e-22,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,1.1360668591937,1.45045810495924e-12,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,0.952229473775961,5.48700291012407e-11,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,2.37925354599557,3.84146190045726e-18,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,0.0420224465575571,0.160810161374142,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,0.0363482477030823,0.263879953099128,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.0203302709731177,0.839544976150041,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.000895574030759428,0.510820579678743,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.014128557770456,0.720098690610818,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,0.0205824354405841,0.189150582844578,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.0719991914766081,0.918433302341682,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,0.00450329604909535,0.426728964735827,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.0125130811171477,0.670643353459808,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.02858550497457,0.934382400122234,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.0421925118372247,0.788604970300631,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.038194155899461,0.982826151260297,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,0.00321830552882726,0.435925847726334,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,0.00620826128196546,0.427170752343689,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.0265460663616384,0.843638054415284,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,0.00239804471110592,0.440517879157759,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.000869755543341997,0.51331582733524,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.0139800094143746,0.870566355406515,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,0.00360904323366429,0.453396392137611,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.00871687675930288,0.649513641583557,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.00913368053347376,0.634208419498939,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,0.0158757195235898,0.169334387569159,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.050564682802889,0.987898692511872,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.022699168946803,0.821163052094691,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.00726567629363186,0.641951794552737,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.0465669034317184,0.933218360694686,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,0.0588785449063689,0.063837411299811,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.0217333296261361,0.9001669194083,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.0369583429871571,0.772055527587413,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.00882426526123592,0.617891570307171,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.0279823312937239,0.853769947546175,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,-0.0112152562800638,0.711053384467667,0.925469796754505,882.377,0.8,0,1000,regression,FALSE,FALSE,2
CPI-DNN,2.05106717556964,5.14377172771749e-21,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,0.269938844990685,0.00142933473837427,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,0.0885682104765346,0.0319464436338785,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,1.48596708116658,9.88383803168011e-14,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,0.538553007003362,1.49196922147975e-05,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,0.736842965177249,4.98948056207745e-07,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,0.220726206527409,0.00383702086614699,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,0.00643941936026528,0.441976504725429,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,-0.104616309114641,0.996645591217083,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,1.07572552978261,5.16904211747645e-10,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
