,Method,correlation,n_samples,prob_data,iteration,V1
90,Permfit-DNN,0,300,regression_perm,90,0.837894736842106
91,Permfit-DNN,0,300,regression_perm,91,0.713684210526316
92,Permfit-DNN,0,300,regression_perm,92,0.745263157894737
93,Permfit-DNN,0,300,regression_perm,93,0.76421052631579
94,Permfit-DNN,0,300,regression_perm,94,0.726315789473684
95,Permfit-DNN,0,300,regression_perm,95,0.663157894736842
96,Permfit-DNN,0,300,regression_perm,96,0.762105263157895
97,Permfit-DNN,0,300,regression_perm,97,0.962105263157895
98,Permfit-DNN,0,300,regression_perm,98,0.72421052631579
99,Permfit-DNN,0,300,regression_perm,99,0.816842105263158
100,Permfit-DNN,0,300,regression_perm,100,0.80421052631579
101,Permfit-DNN,0.2,300,regression_perm,1,0.736842105263158
102,Permfit-DNN,0.2,300,regression_perm,2,0.751578947368421
103,Permfit-DNN,0.2,300,regression_perm,3,0.549473684210527
104,Permfit-DNN,0.2,300,regression_perm,4,0.656842105263158
105,Permfit-DNN,0.2,300,regression_perm,5,0.692631578947369
106,Permfit-DNN,0.2,300,regression_perm,6,0.642105263157895
107,Permfit-DNN,0.2,300,regression_perm,7,0.760000000000001
108,Permfit-DNN,0.2,300,regression_perm,8,0.762105263157896
109,Permfit-DNN,0.2,300,regression_perm,9,0.629473684210527
110,Permfit-DNN,0.2,300,regression_perm,10,0.701052631578948
111,Permfit-DNN,0.2,300,regression_perm,11,0.823157894736843
112,Permfit-DNN,0.2,300,regression_perm,12,0.623157894736842
113,Permfit-DNN,0.2,300,regression_perm,13,0.583157894736843
114,Permfit-DNN,0.2,300,regression_perm,14,0.642105263157895
115,Permfit-DNN,0.2,300,regression_perm,15,0.823157894736843
116,Permfit-DNN,0.2,300,regression_perm,16,0.427368421052632
117,Permfit-DNN,0.2,300,regression_perm,17,0.802105263157895
118,Permfit-DNN,0.2,300,regression_perm,18,0.722105263157895
119,Permfit-DNN,0.2,300,regression_perm,19,0.858947368421053
120,Permfit-DNN,0.2,300,regression_perm,20,0.896842105263158
121,Permfit-DNN,0.2,300,regression_perm,21,0.677894736842106
122,Permfit-DNN,0.2,300,regression_perm,22,0.717894736842105
123,Permfit-DNN,0.2,300,regression_perm,23,0.629473684210527
124,Permfit-DNN,0.2,300,regression_perm,24,0.717894736842106
125,Permfit-DNN,0.2,300,regression_perm,25,0.88
126,Permfit-DNN,0.2,300,regression_perm,26,0.928421052631579
127,Permfit-DNN,0.2,300,regression_perm,27,0.705263157894737
128,Permfit-DNN,0.2,300,regression_perm,28,0.631578947368421
129,Permfit-DNN,0.2,300,regression_perm,29,0.671578947368422
130,Permfit-DNN,0.2,300,regression_perm,30,0.675789473684211
131,Permfit-DNN,0.2,300,regression_perm,31,0.68421052631579
132,Permfit-DNN,0.2,300,regression_perm,32,0.812631578947368
133,Permfit-DNN,0.2,300,regression_perm,33,0.618947368421052
134,Permfit-DNN,0.2,300,regression_perm,34,0.814736842105263
135,Permfit-DNN,0.2,300,regression_perm,35,0.774736842105264
136,Permfit-DNN,0.2,300,regression_perm,36,0.698947368421053
137,Permfit-DNN,0.2,300,regression_perm,37,0.705263157894737
138,Permfit-DNN,0.2,300,regression_perm,38,0.713684210526316
139,Permfit-DNN,0.2,300,regression_perm,39,0.652631578947369
140,Permfit-DNN,0.2,300,regression_perm,40,0.511578947368421
141,Permfit-DNN,0.2,300,regression_perm,41,0.612631578947369
142,Permfit-DNN,0.2,300,regression_perm,42,0.650526315789473
143,Permfit-DNN,0.2,300,regression_perm,43,0.741052631578948
144,Permfit-DNN,0.2,300,regression_perm,44,0.467368421052632
145,Permfit-DNN,0.2,300,regression_perm,45,0.690526315789474
146,Permfit-DNN,0.2,300,regression_perm,46,0.713684210526316
147,Permfit-DNN,0.2,300,regression_perm,47,0.720000000000001
148,Permfit-DNN,0.2,300,regression_perm,48,0.736842105263159
149,Permfit-DNN,0.2,300,regression_perm,49,0.829473684210526
150,Permfit-DNN,0.2,300,regression_perm,50,0.698947368421053
151,Permfit-DNN,0.2,300,regression_perm,51,0.829473684210527
152,Permfit-DNN,0.2,300,regression_perm,52,0.732631578947369
153,Permfit-DNN,0.2,300,regression_perm,53,0.726315789473685
154,Permfit-DNN,0.2,300,regression_perm,54,0.738947368421053
155,Permfit-DNN,0.2,300,regression_perm,55,0.848421052631579
156,Permfit-DNN,0.2,300,regression_perm,56,0.774736842105263
157,Permfit-DNN,0.2,300,regression_perm,57,0.694736842105263
158,Permfit-DNN,0.2,300,regression_perm,58,0.574736842105263
159,Permfit-DNN,0.2,300,regression_perm,59,0.650526315789474
160,Permfit-DNN,0.2,300,regression_perm,60,0.650526315789474
161,Permfit-DNN,0.2,300,regression_perm,61,0.658947368421053
162,Permfit-DNN,0.2,300,regression_perm,62,0.84421052631579
163,Permfit-DNN,0.2,300,regression_perm,63,0.654736842105263
164,Permfit-DNN,0.2,300,regression_perm,64,0.802105263157895
165,Permfit-DNN,0.2,300,regression_perm,65,0.795789473684211
166,Permfit-DNN,0.2,300,regression_perm,66,0.730526315789474
167,Permfit-DNN,0.2,300,regression_perm,67,0.722105263157895
168,Permfit-DNN,0.2,300,regression_perm,68,0.753684210526316
169,Permfit-DNN,0.2,300,regression_perm,69,0.713684210526316
170,Permfit-DNN,0.2,300,regression_perm,70,0.658947368421053
171,Permfit-DNN,0.2,300,regression_perm,71,0.587368421052632
172,Permfit-DNN,0.2,300,regression_perm,72,0.741052631578947
