"","method","correlation","n_samples","prob_data","iteration","prob_type","V1"
"70","CPI-DNN",0.8,8357,"regression_combine",70,"regression",0.0235478806907378
"71","CPI-DNN",0.8,8357,"regression_combine",71,"regression",0.100470957613815
"72","CPI-DNN",0.8,8357,"regression_combine",72,"regression",0.0627943485086342
"73","CPI-DNN",0.8,8357,"regression_combine",73,"regression",0.032967032967033
"74","CPI-DNN",0.8,8357,"regression_combine",74,"regression",0.0612244897959184
"75","CPI-DNN",0.8,8357,"regression_combine",75,"regression",0.136577708006279
"76","CPI-DNN",0.8,8357,"regression_combine",76,"regression",0.0627943485086342
"77","CPI-DNN",0.8,8357,"regression_combine",77,"regression",0.0533751962323391
"78","CPI-DNN",0.8,8357,"regression_combine",78,"regression",0.0486656200941915
"79","CPI-DNN",0.8,8357,"regression_combine",79,"regression",0.0282574568288854
"80","CPI-DNN",0.8,8357,"regression_combine",80,"regression",0.0298273155416013
"81","CPI-DNN",0.8,8357,"regression_combine",81,"regression",0.0423861852433281
"82","CPI-DNN",0.8,8357,"regression_combine",82,"regression",0.0188383045525903
"83","CPI-DNN",0.8,8357,"regression_combine",83,"regression",0.0408163265306122
"84","CPI-DNN",0.8,8357,"regression_combine",84,"regression",0.0455259026687598
"85","CPI-DNN",0.8,8357,"regression_combine",85,"regression",0.0235478806907378
"86","CPI-DNN",0.8,8357,"regression_combine",86,"regression",0.0361067503924647
"87","CPI-DNN",0.8,8357,"regression_combine",87,"regression",0.0596546310832025
"88","CPI-DNN",0.8,8357,"regression_combine",88,"regression",0.0313971742543171
"89","CPI-DNN",0.8,8357,"regression_combine",89,"regression",0.0706436420722135
"90","CPI-DNN",0.8,8357,"regression_combine",90,"regression",0.0251177394034537
"91","CPI-DNN",0.8,8357,"regression_combine",91,"regression",0.106750392464678
"92","CPI-DNN",0.8,8357,"regression_combine",92,"regression",0.0172684458398744
"93","CPI-DNN",0.8,8357,"regression_combine",93,"regression",0.0926216640502355
"94","CPI-DNN",0.8,8357,"regression_combine",94,"regression",0.00627943485086342
"95","CPI-DNN",0.8,8357,"regression_combine",95,"regression",0.0470957613814757
"96","CPI-DNN",0.8,8357,"regression_combine",96,"regression",0.0565149136577708
"97","CPI-DNN",0.8,8357,"regression_combine",97,"regression",0.0627943485086342
"98","CPI-DNN",0.8,8357,"regression_combine",98,"regression",0.043956043956044
"99","CPI-DNN",0.8,8357,"regression_combine",99,"regression",0.0204081632653061
"100","CPI-DNN",0.8,8357,"regression_combine",100,"regression",0.0172684458398744
"101","Permfit-DNN",0.8,8357,"regression_combine",1,"regression",0.0596546310832025
"102","Permfit-DNN",0.8,8357,"regression_combine",2,"regression",0.113029827315542
"103","Permfit-DNN",0.8,8357,"regression_combine",3,"regression",0.043956043956044
"104","Permfit-DNN",0.8,8357,"regression_combine",4,"regression",0.0926216640502355
"105","Permfit-DNN",0.8,8357,"regression_combine",5,"regression",0.0580847723704867
"106","Permfit-DNN",0.8,8357,"regression_combine",6,"regression",0.0643642072213501
"107","Permfit-DNN",0.8,8357,"regression_combine",7,"regression",0.0376766091051805
"108","Permfit-DNN",0.8,8357,"regression_combine",8,"regression",0.0392464678178964
"109","Permfit-DNN",0.8,8357,"regression_combine",9,"regression",0.0816326530612245
"110","Permfit-DNN",0.8,8357,"regression_combine",10,"regression",0.0408163265306122
"111","Permfit-DNN",0.8,8357,"regression_combine",11,"regression",0.0612244897959184
"112","Permfit-DNN",0.8,8357,"regression_combine",12,"regression",0.0470957613814757
"113","Permfit-DNN",0.8,8357,"regression_combine",13,"regression",0.0706436420722135
"114","Permfit-DNN",0.8,8357,"regression_combine",14,"regression",0.0643642072213501
"115","Permfit-DNN",0.8,8357,"regression_combine",15,"regression",0.0470957613814757
"116","Permfit-DNN",0.8,8357,"regression_combine",16,"regression",0.0832025117739403
"117","Permfit-DNN",0.8,8357,"regression_combine",17,"regression",0.0361067503924647
"118","Permfit-DNN",0.8,8357,"regression_combine",18,"regression",0.114599686028257
"119","Permfit-DNN",0.8,8357,"regression_combine",19,"regression",0.116169544740973
"120","Permfit-DNN",0.8,8357,"regression_combine",20,"regression",0.0518053375196232
"121","Permfit-DNN",0.8,8357,"regression_combine",21,"regression",0.0313971742543171
"122","Permfit-DNN",0.8,8357,"regression_combine",22,"regression",0.0470957613814757
"123","Permfit-DNN",0.8,8357,"regression_combine",23,"regression",0.0361067503924647
"124","Permfit-DNN",0.8,8357,"regression_combine",24,"regression",0.100470957613815
"125","Permfit-DNN",0.8,8357,"regression_combine",25,"regression",0.0298273155416013
"126","Permfit-DNN",0.8,8357,"regression_combine",26,"regression",0.0376766091051805
"127","Permfit-DNN",0.8,8357,"regression_combine",27,"regression",0.0659340659340659
"128","Permfit-DNN",0.8,8357,"regression_combine",28,"regression",0.0910518053375196
"129","Permfit-DNN",0.8,8357,"regression_combine",29,"regression",0.108320251177394
"130","Permfit-DNN",0.8,8357,"regression_combine",30,"regression",0.0392464678178964
"131","Permfit-DNN",0.8,8357,"regression_combine",31,"regression",0.0816326530612245
"132","Permfit-DNN",0.8,8357,"regression_combine",32,"regression",0.0502354788069074
"133","Permfit-DNN",0.8,8357,"regression_combine",33,"regression",0.0392464678178964
"134","Permfit-DNN",0.8,8357,"regression_combine",34,"regression",0.0345368916797488
"135","Permfit-DNN",0.8,8357,"regression_combine",35,"regression",0.0518053375196232
"136","Permfit-DNN",0.8,8357,"regression_combine",36,"regression",0.0863422291993721
"137","Permfit-DNN",0.8,8357,"regression_combine",37,"regression",0.0690737833594976
"138","Permfit-DNN",0.8,8357,"regression_combine",38,"regression",0.0675039246467818
"139","Permfit-DNN",0.8,8357,"regression_combine",39,"regression",0.0910518053375196
"140","Permfit-DNN",0.8,8357,"regression_combine",40,"regression",0.0643642072213501
"141","Permfit-DNN",0.8,8357,"regression_combine",41,"regression",0.0910518053375196
"142","Permfit-DNN",0.8,8357,"regression_combine",42,"regression",0.124018838304553
"143","Permfit-DNN",0.8,8357,"regression_combine",43,"regression",0.0706436420722135
"144","Permfit-DNN",0.8,8357,"regression_combine",44,"regression",0.0376766091051805
"145","Permfit-DNN",0.8,8357,"regression_combine",45,"regression",0.0408163265306122
"146","Permfit-DNN",0.8,8357,"regression_combine",46,"regression",0.0408163265306122
"147","Permfit-DNN",0.8,8357,"regression_combine",47,"regression",0.0627943485086342
"148","Permfit-DNN",0.8,8357,"regression_combine",48,"regression",0.0643642072213501
"149","Permfit-DNN",0.8,8357,"regression_combine",49,"regression",0.111459968602826
"150","Permfit-DNN",0.8,8357,"regression_combine",50,"regression",0.0533751962323391
"151","Permfit-DNN",0.8,8357,"regression_combine",51,"regression",0.0565149136577708
"152","Permfit-DNN",0.8,8357,"regression_combine",52,"regression",0.0690737833594976
"153","Permfit-DNN",0.8,8357,"regression_combine",53,"regression",0.0989010989010989
"154","Permfit-DNN",0.8,8357,"regression_combine",54,"regression",0.0612244897959184
"155","Permfit-DNN",0.8,8357,"regression_combine",55,"regression",0.0361067503924647
"156","Permfit-DNN",0.8,8357,"regression_combine",56,"regression",0.0376766091051805
"157","Permfit-DNN",0.8,8357,"regression_combine",57,"regression",0.0675039246467818
"158","Permfit-DNN",0.8,8357,"regression_combine",58,"regression",0.0266875981161695
"159","Permfit-DNN",0.8,8357,"regression_combine",59,"regression",0.0926216640502355
"160","Permfit-DNN",0.8,8357,"regression_combine",60,"regression",0.0706436420722135
"161","Permfit-DNN",0.8,8357,"regression_combine",61,"regression",0.0455259026687598
"162","Permfit-DNN",0.8,8357,"regression_combine",62,"regression",0.0502354788069074
"163","Permfit-DNN",0.8,8357,"regression_combine",63,"regression",0.0580847723704867
"164","Permfit-DNN",0.8,8357,"regression_combine",64,"regression",0.0863422291993721
"165","Permfit-DNN",0.8,8357,"regression_combine",65,"regression",0.0596546310832025
"166","Permfit-DNN",0.8,8357,"regression_combine",66,"regression",0.125588697017268
"167","Permfit-DNN",0.8,8357,"regression_combine",67,"regression",0.0957613814756672
"168","Permfit-DNN",0.8,8357,"regression_combine",68,"regression",0.0596546310832025
"169","Permfit-DNN",0.8,8357,"regression_combine",69,"regression",0.0345368916797488
"170","Permfit-DNN",0.8,8357,"regression_combine",70,"regression",0.0596546310832025
"171","Permfit-DNN",0.8,8357,"regression_combine",71,"regression",0.0926216640502355
"172","Permfit-DNN",0.8,8357,"regression_combine",72,"regression",0.0941915227629513
"173","Permfit-DNN",0.8,8357,"regression_combine",73,"regression",0.0518053375196232
"174","Permfit-DNN",0.8,8357,"regression_combine",74,"regression",0.0565149136577708
"175","Permfit-DNN",0.8,8357,"regression_combine",75,"regression",0.0549450549450549
"176","Permfit-DNN",0.8,8357,"regression_combine",76,"regression",0.0816326530612245
"177","Permfit-DNN",0.8,8357,"regression_combine",77,"regression",0.0533751962323391
"178","Permfit-DNN",0.8,8357,"regression_combine",78,"regression",0.0596546310832025
"179","Permfit-DNN",0.8,8357,"regression_combine",79,"regression",0.0894819466248038
"180","Permfit-DNN",0.8,8357,"regression_combine",80,"regression",0.0722135007849294
"181","Permfit-DNN",0.8,8357,"regression_combine",81,"regression",0.124018838304553
"182","Permfit-DNN",0.8,8357,"regression_combine",82,"regression",0.116169544740973
"183","Permfit-DNN",0.8,8357,"regression_combine",83,"regression",0.106750392464678
"184","Permfit-DNN",0.8,8357,"regression_combine",84,"regression",0.043956043956044
"185","Permfit-DNN",0.8,8357,"regression_combine",85,"regression",0.0800627943485086
"186","Permfit-DNN",0.8,8357,"regression_combine",86,"regression",0.0659340659340659
"187","Permfit-DNN",0.8,8357,"regression_combine",87,"regression",0.0470957613814757
"188","Permfit-DNN",0.8,8357,"regression_combine",88,"regression",0.0392464678178964
"189","Permfit-DNN",0.8,8357,"regression_combine",89,"regression",0.0722135007849294
"190","Permfit-DNN",0.8,8357,"regression_combine",90,"regression",0.0675039246467818
"191","Permfit-DNN",0.8,8357,"regression_combine",91,"regression",0.0879120879120879
"192","Permfit-DNN",0.8,8357,"regression_combine",92,"regression",0.0455259026687598
"193","Permfit-DNN",0.8,8357,"regression_combine",93,"regression",0.0706436420722135
"194","Permfit-DNN",0.8,8357,"regression_combine",94,"regression",0.0376766091051805
"195","Permfit-DNN",0.8,8357,"regression_combine",95,"regression",0.0596546310832025
"196","Permfit-DNN",0.8,8357,"regression_combine",96,"regression",0.0596546310832025
"197","Permfit-DNN",0.8,8357,"regression_combine",97,"regression",0.0784929356357928
"198","Permfit-DNN",0.8,8357,"regression_combine",98,"regression",0.0486656200941915
"199","Permfit-DNN",0.8,8357,"regression_combine",99,"regression",0.032967032967033
"200","Permfit-DNN",0.8,8357,"regression_combine",100,"regression",0.0455259026687598
