method,score,elapsed,correlation,n_samples,prob_data,iteration,importance,p_value
CPI-DNN,0.9212763211116255,816.0140371322632,0.8,1000,regression_combine,1,2.7968567317691355,2.3275524814807258e-49
CPI-DNN,0.9212763211116255,816.0140371322632,0.8,1000,regression_combine,1,2.2872508345612994,1.0541871362619064e-32
CPI-DNN,0.9212763211116255,816.0140371322632,0.8,1000,regression_combine,1,1.2155471190257736,5.281876073507682e-20
CPI-DNN,0.9212763211116255,816.0140371322632,0.8,1000,regression_combine,1,0.2930243504620454,2.699301922822103e-06
CPI-DNN,0.9212763211116255,816.0140371322632,0.8,1000,regression_combine,1,0.28712860795378753,5.721880917862871e-07
CPI-DNN,0.9212763211116255,816.0140371322632,0.8,1000,regression_combine,1,0.4092119439844892,8.959964304798057e-09
CPI-DNN,0.9212763211116255,816.0140371322632,0.8,1000,regression_combine,1,2.869684800306437,1.1831520313564499e-39
CPI-DNN,0.9212763211116255,816.0140371322632,0.8,1000,regression_combine,1,0.10978218066910005,0.01356785567181878
CPI-DNN,0.9212763211116255,816.0140371322632,0.8,1000,regression_combine,1,0.10169562303312182,0.02234833903158757
CPI-DNN,0.9212763211116255,816.0140371322632,0.8,1000,regression_combine,1,0.1879041033627321,0.00010811086764819378
CPI-DNN,0.9212763211116255,816.0140371322632,0.8,1000,regression_combine,1,2.735463538358982,1.2097760827708546e-40
CPI-DNN,0.9212763211116255,816.0140371322632,0.8,1000,regression_combine,1,0.12410014579109681,0.00022216523185131137
CPI-DNN,0.9212763211116255,816.0140371322632,0.8,1000,regression_combine,1,1.414428007657614,6.396320666121534e-27
CPI-DNN,0.9212763211116255,816.0140371322632,0.8,1000,regression_combine,1,0.048372445768355164,0.009312253224038402
CPI-DNN,0.9212763211116255,816.0140371322632,0.8,1000,regression_combine,1,-0.037229355356222855,0.886848148284326
CPI-DNN,0.9212763211116255,816.0140371322632,0.8,1000,regression_combine,1,0.35926387260423887,3.2494589753834784e-08
CPI-DNN,0.9212763211116255,816.0140371322632,0.8,1000,regression_combine,1,2.4064674909274903,2.3028629994180995e-39
CPI-DNN,0.9212763211116255,816.0140371322632,0.8,1000,regression_combine,1,0.21004631566590354,4.589097999406233e-06
CPI-DNN,0.9212763211116255,816.0140371322632,0.8,1000,regression_combine,1,0.8993964751353571,4.2788079282104693e-16
CPI-DNN,0.9212763211116255,816.0140371322632,0.8,1000,regression_combine,1,2.6315386692656304,2.1556558214649562e-39
CPI-DNN,0.9212763211116255,816.0140371322632,0.8,1000,regression_combine,1,0.008604162264511963,0.3887863930861556
CPI-DNN,0.9212763211116255,816.0140371322632,0.8,1000,regression_combine,1,-0.06176370287170394,0.9703877562653273
