method,score,elapsed,correlation,n_samples,prob_data,iteration,importance,p_value
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,2.145166197821078,2.780956710922551e-40
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,1.7737555330133141,7.150242327308803e-27
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.9367395976289922,1.3129420184114975e-16
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.2252628778040979,2.5684071395732642e-05
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.21458528439200528,8.188321259378009e-06
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.31729012246479954,2.206497475203769e-07
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,2.226499302675319,7.262478065517193e-33
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.08108972778570081,0.028434612622510656
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.06906469308527528,0.05711760359839731
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.15586252278617582,0.0002342486296928887
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,2.117773175005953,5.06673616529904e-33
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.09381209220830698,0.0011042099469874412
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,1.1154461344801294,1.1170778247271676e-22
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.03777230217106769,0.016854466472231135
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,-0.04032486347645139,0.9365725357885849
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.2757418919454277,5.796124435423172e-07
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,1.8379454264841164,9.105862319807262e-32
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.16982024147905111,1.5957650667995825e-05
