,Method,correlation,n_samples,prob_data,iteration,V1
90,Permfit-DNN,0,300,regression_perm,90,0.052631578947368
91,Permfit-DNN,0,300,regression_perm,91,0.063157894736842
92,Permfit-DNN,0,300,regression_perm,92,0.031578947368421
93,Permfit-DNN,0,300,regression_perm,93,0.073684210526316
94,Permfit-DNN,0,300,regression_perm,94,0.031578947368421
95,Permfit-DNN,0,300,regression_perm,95,0.063157894736842
96,Permfit-DNN,0,300,regression_perm,96,0.052631578947368
97,Permfit-DNN,0,300,regression_perm,97,0
98,Permfit-DNN,0,300,regression_perm,98,0.031578947368421
99,Permfit-DNN,0,300,regression_perm,99,0.052631578947368
100,Permfit-DNN,0,300,regression_perm,100,0.063157894736842
101,Permfit-DNN,0.2,300,regression_perm,1,0.052631578947368
102,Permfit-DNN,0.2,300,regression_perm,2,0
103,Permfit-DNN,0.2,300,regression_perm,3,0.052631578947368
104,Permfit-DNN,0.2,300,regression_perm,4,0.105263157894737
105,Permfit-DNN,0.2,300,regression_perm,5,0.094736842105263
106,Permfit-DNN,0.2,300,regression_perm,6,0.115789473684211
107,Permfit-DNN,0.2,300,regression_perm,7,0.136842105263158
108,Permfit-DNN,0.2,300,regression_perm,8,0.105263157894737
109,Permfit-DNN,0.2,300,regression_perm,9,0.08421052631579
110,Permfit-DNN,0.2,300,regression_perm,10,0.105263157894737
111,Permfit-DNN,0.2,300,regression_perm,11,0.063157894736842
112,Permfit-DNN,0.2,300,regression_perm,12,0.052631578947368
113,Permfit-DNN,0.2,300,regression_perm,13,0.094736842105263
114,Permfit-DNN,0.2,300,regression_perm,14,0.063157894736842
115,Permfit-DNN,0.2,300,regression_perm,15,0.115789473684211
116,Permfit-DNN,0.2,300,regression_perm,16,0.063157894736842
117,Permfit-DNN,0.2,300,regression_perm,17,0.115789473684211
118,Permfit-DNN,0.2,300,regression_perm,18,0.094736842105263
119,Permfit-DNN,0.2,300,regression_perm,19,0.073684210526316
120,Permfit-DNN,0.2,300,regression_perm,20,0.063157894736842
121,Permfit-DNN,0.2,300,regression_perm,21,0.08421052631579
122,Permfit-DNN,0.2,300,regression_perm,22,0.052631578947368
123,Permfit-DNN,0.2,300,regression_perm,23,0.063157894736842
124,Permfit-DNN,0.2,300,regression_perm,24,0.08421052631579
125,Permfit-DNN,0.2,300,regression_perm,25,0.08421052631579
