"","method","correlation","n_samples","prob_data","iteration","prob_type","V1"
"87","CPI-DNN",0.8,1000,"regression",87,"regression",0.8
"88","CPI-DNN",0.8,1000,"regression",88,"regression",0.9
"89","CPI-DNN",0.8,1000,"regression",89,"regression",0.95
"90","CPI-DNN",0.8,1000,"regression",90,"regression",0.9
"91","CPI-DNN",0.8,1000,"regression",91,"regression",0.8
"92","CPI-DNN",0.8,1000,"regression",92,"regression",0.75
"93","CPI-DNN",0.8,1000,"regression",93,"regression",0.85
"94","CPI-DNN",0.8,1000,"regression",94,"regression",0.9
"95","CPI-DNN",0.8,1000,"regression",95,"regression",0.85
"96","CPI-DNN",0.8,1000,"regression",96,"regression",0.75
"97","CPI-DNN",0.8,1000,"regression",97,"regression",0.9
"98","CPI-DNN",0.8,1000,"regression",98,"regression",0.8
"99","CPI-DNN",0.8,1000,"regression",99,"regression",0.9
"100","CPI-DNN",0.8,1000,"regression",100,"regression",0.8
"101","LOCO-DNN",0.8,1000,"regression",1,"regression",0.7
"102","LOCO-DNN",0.8,1000,"regression",2,"regression",0.7
"103","LOCO-DNN",0.8,1000,"regression",3,"regression",0.8
"104","LOCO-DNN",0.8,1000,"regression",4,"regression",0.45
"105","LOCO-DNN",0.8,1000,"regression",5,"regression",0.75
"106","LOCO-DNN",0.8,1000,"regression",6,"regression",0.8
"107","LOCO-DNN",0.8,1000,"regression",7,"regression",0.65
"108","LOCO-DNN",0.8,1000,"regression",8,"regression",0.9
"109","LOCO-DNN",0.8,1000,"regression",9,"regression",0.7
"110","LOCO-DNN",0.8,1000,"regression",10,"regression",0.7
"111","LOCO-DNN",0.8,1000,"regression",11,"regression",0.5
"112","LOCO-DNN",0.8,1000,"regression",12,"regression",0.85
"113","LOCO-DNN",0.8,1000,"regression",13,"regression",0.65
"114","LOCO-DNN",0.8,1000,"regression",14,"regression",0.35
"115","LOCO-DNN",0.8,1000,"regression",15,"regression",0.7
"116","LOCO-DNN",0.8,1000,"regression",16,"regression",0.65
"117","LOCO-DNN",0.8,1000,"regression",17,"regression",0.65
"118","LOCO-DNN",0.8,1000,"regression",18,"regression",0.55
